,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
73,Gambia,3,0,1,0,0,0
74,"Gambia, The",1,0,0,0,0,0
75,Georgia,75,5,0,0,10,1
76,Germany,37323,4337,206,49,3547,304
77,Ghana,93,40,4,2,0,0
78,Gibraltar,1,0,0,0,1,1
79,Greece,821,78,22,2,36,7
80,Greenland,0,0,0,0,0,0
81,Grenada,1,0,0,0,0,0
82,Guadeloupe,56,3,0,0,0,0
83,Guam,0,0,1,1,0,0
84,Guatemala,24,3,1,0,4,4
85,Guernsey,0,0,0,0,0,0
86,Guinea,4,0,0,0,0,0
87,Guinea-Bissau,0,0,0,0,0,0
88,Guyana,5,0,1,0,0,0
89,Haiti,8,1,0,0,0,0
90,Holy See,4,0,0,0,0,0
91,Honduras,36,6,0,0,0,0
92,Hong Kong,115,1,3,0,59,1
93,Hong Kong SAR,0,0,0,0,0,0
94,Hungary,226,39,10,1,21,0
95,Iceland,737,89,2,0,56,5
96,India,657,121,12,2,43,3
